,task_id_number,task_id_string,best_see_description,best_grid_description,best_do_description,desc_num_builds,desc_num_successsful_builds
36102060-bd04-4ee0-8c44-531925860ab5,192,7f4411dc.json,"In the input, you should see...solid colored shapes and some are block with some single pixel. A single color is for each pair.",The output grid size...the same number,"To make the output, you have to...always remove a single pixel outside of the big blocks. Your output with be big blocks only, no scattered single pixels. Simply remove these single pixels and leave the complete major blocks whether these pixels are right next to or by themselves out in space. That's all.",1,1
cc4e5cc7-17e7-49d6-b470-76eeca700d74,193,7fe24cdd.json,"In the input, you should see... a pattern with various colors on a 3x3 grid",The output grid size... the grid size is doubled to 6x6,"To make the output, you have to... imagine the 6x6 output grid is split into four squares. Copy the input pattern onto the top left square, rotate 90 degrees to the right for the top right square, rotate again for the bottom right, then again for the bottom left.",1,1
1edf2536-f5bd-4ad0-93d9-2cc797dfe040,194,80af3007.json,"In the input, you should see...a design pattern on a black background",The output grid size...9x9 or the size of the design pattern,"To make the output, you have to...repeat the shape of the design pattern in 3x3 squares and make the same design on the 9x9 grid out of 3x3 squares.",3,1
dd450fb8-ee7d-4677-b03e-3edf658293b7,195,810b9b61.json,"In the input, you should see... some blue figures against a black background.",The output grid size... is identical to the input grid.,"To make the output, you have to... re-color green only the blue figures that form closed boxes.",3,3
2ba9cc3a-ae9e-4b98-a63c-591e02ae0189,196,82819916.json,"In the input, you should see... one complete line and at least one incomplete line. Each line is made of two colors.",The output grid size... is the same as the input.,"To make the output, you have to... copy the input grid. Then, you have to complete each incomplete line. Maintain the lines color scheme while matching the pattern of the single complete line.",1,1
9fc2c7fe-71e1-4493-ac2a-4a90c5198908,197,83302e8f.json,"In the input, you should see... an array of black squares separated by a partially broken grid of colored lines.",The output grid size... is identical to the input grid.,"To make the output, you have to... for every black square that has fully solid borders, recolor from black to green. For every square that has broken borders, recolor from black to yellow. Leave border lines in the original color.",2,1
b2eed25b-c798-4f51-af53-75bd1e79c7a3,198,834ec97d.json,"In the input, you should see...one square that's not yellow",The output grid size...stays the same,"To make the output, you have to...move the square that's not yellow down one space. Then create a yellow line above the square to the top of the grid. Next, leave a black column on both sides of the yellow. Then, make identical yellow columns using this pattern.",1,1
691d2033-3dbf-4ff6-8e99-4a8525b58db1,199,8403a5d5.json,"In the input, you should see... a color grid.",The output grid size...same as input grid size. copy and paste the same input grid.,"To make the output, you have to... fill the grid color of input for one vertical line and leave the next vertical line black and fill the next vertical line with input color and repeat this starting the input grid color from left to right.",1,0
181379d5-22a1-476f-a48c-af899cdbccb7,200,846bdb03.json,"In the input, you should see... two vertical line shapes with yellow squares at the top and bottom, and two other shapes that join together with colors that match the middle part of the vertical line shapes.",The output grid size... the height is the same as the height of the vertical line shapes. The width is the same width as the grid between the vertical line shapes plus the two yellow squares.,"To make the output, you have to... First, create a black grid according to the output grid size. Next, draw the vertical line shapes on the output grid identical to those on the input grid, and the space between the shapes should be the same too. Then, draw the other two shapes that join together in the middle of the grid, making sure that their colors match the colors of the middle part of the vertical line shapes. If the original color arrangement of the other shapes do not match the vertical line shapes, you need to flip the other shapes and draw them mirroring the original pattern so they match the color of the vertical line shapes.Note that the other two join shapes have to be drawn in the middle of the grid and nothing should be drawn on the grid where the yellow squares are.",1,1
d76b1ec8-1580-4ac7-bbe5-bee23e56be96,201,855e0971.json,"In the input, you should see... black tiles placed in blocks of color",The output grid size... stays the same,"To make the output, you have to...make the black tiles into lines that end at the color blocks they are in, if the color blocks appear vertically then the black lines should be horizontally, if the color blocks appear horizontally then the black lines should be vertical",1,1
3c91d30e-7b6e-4500-8b46-444ac62ab2c3,202,85c4e7cd.json,"In the input, you should see...a grid with different colored square borders that get smaller and smaller until it reaches the center.",The output grid size...same size as the input grid.,"To make the output, you have to...replace the inner most color with the outer most color and complete the same step with every color until all have been changed. In other words, invert the order of the colors.",2,2
b82136be-b1e6-4390-bbc0-d5e1095735c6,203,868de0fa.json,"In the input, you should see...a black grid with five blue-border squares.",The output grid size...stays the same.,"To make the output, you have to...fill the squares with an even number grid INSIDE the blue border with red, and the rest (1x1, 3x3, 5x5) squares with the color you get from red   yellow.",5,2
1490bd53-759e-443f-ad7e-a2914411ae7c,204,8731374e.json,"In the input, you should see...a single colored grid within a large grid. The single colored grid will contain a second color block or blocks.",The output grid size...must be the same size as the large single colored grid.,"To make the output, you have to...fill in the entire row and column with the same color of the smaller cell. For example, if you have three single colored cells, you should end up with three columns and three rows.",1,1
63478068-35a7-4d16-af0b-a72c943520a7,205,88a10436.json,"In the input, you should see... multi-colored 3x3 shapes with a gray tile placed randomly",The output grid size... remains the same as the input grid size.,"To make the output, you have to... copy the input 3x3 multi-colored shape ontop of the gray square, this square comprises the MIDDLE of the 3x3 copy",2,1
6f7676ce-d3e3-4f4d-b95c-fe3308c15ec7,206,88a62173.json,"In the input, you should see...color pattern with different color",The output grid size...4x4 grid size,"To make the output, you have to...replicate any of the 4x4 color pattern",1,0
b92b38b0-771d-43d0-ac9c-e20d8bb4e8b9,207,890034e9.json,"In the input, you should see... a large grid with one shape with black center",The output grid size... is the same as the input grid size,"To make the output, you have to...First, copy the input grid and leave it as it is. Then, count the black color grid inside the shape. Next, find another area in the large grid with the same number of black grid as in the first shape, however, it will only be black grid without the shape and the black grid might also be surrounded by black squares or have additional black squares around it. After you find the black grid, replicate the first shape with the black grid you find as the center. There should be two identical shapes in the output grid.",1,1
e4a74f82-00a8-4b99-9788-ab65a40250c1,208,8a004b2b.json,"In the input, you should see...four yellow squares and several boxes of color within the corners of the yellow squares.",The output grid size...should be the yellow squares and everything within.,"To make the output, you have to...focus on the yellow squares and put the replace the squares within the yellow corners with the colored pattern outside the corners.",1,0
b9d919a0-fc24-44cc-b396-b2eaf9894cb2,209,8be77c9e.json,"In the input, you should see...3x3 grid with some squares filled with the same color and the rest filled with black",The output grid size...double the height of the input grid and the same width as the input grid,"To make the output, you have to...mirror the grid on the new grid",1,1
3bf7bd64-f6a1-46d7-a1b3-4772a65587fb,210,8d5021e8.json,"In the input, you should see...four black boxes and two boxes of another color","The output grid size...is six of the input grid, two wide and three long","To make the output, you have to...put the input grid in the center of your output grid. then create repeat the patterns but flip them.",2,0
3e812658-f116-4e98-9a52-1cd484f747c6,211,8d510a79.json,"In the input, you should see...a square with a gray line and blue and red tiles",The output grid size...stays the same,"To make the output, you have to...complete a line with the colors. If it's red, fill the line in until you hit the gray bar. If it's blue, fill in until you hit the bottom or top edge.",3,2
a4fa8eb5-889d-4bc3-ac35-c0a82116464f,212,8e1813be.json,"In the input, you should see...a black background with  a colored square and different colored lines.",The output grid size...is the same size as the colored square.,"To make the output, you have to...repeat the color lines in the same horizontal or vertical order as they appear in the input. The lines should go all the way across the grid to form stripes that are in the same color order and orientation as the input.",2,1
4bada98b-935b-4ed1-975f-4fec5ff2bfd4,213,8e5a5113.json,"In the input, you should see...colored square and two black squares",The output grid size...size remains the same,"To make the output, you have to...have the first remain the same then the second black square  have the same colors just move it 90 degrees and for the third black square change it 90 more degrees",1,1
b23cfca6-db4e-4c48-bf28-887d0e476f31,214,8eb1be9a.json,"In the input, you should see...a pattern in the center of a black background",The output grid size... is the same as the input grid,"To make the output, you have to... copy the input grid, then copy the exact same pattern to fill in the whole black background.",1,1
0df4e254-45b5-4c1d-bc49-3816537dbe96,215,8efcae92.json,"In the input, you should see...2 colors on a black background",The output grid size...choose the shape with the most red squares and make the grid that size,"To make the output, you have to...replicate the pattern of the chosen shape",1,1
3783d9c4-67ff-4697-adab-46537f651008,216,8f2ea7aa.json,"In the input, you should see...a pattern on a black grid",The output grid size...the same size as the input grid.,"To make the output, you have to...Imagine the original pattern is a 3x3 grid. What you need to do is copy the pattern in the 3x3 to the 9x9 grid. So you  have 9 3x3 grid inside of the bigger grid(Top left, top middle, top right, middle left, middle, middle right, bottom left, bottom middle, bottom right). For example if the  input pattern is a l shape you would only copy this to the top middle, middle and bottom middle grid.",1,0
b0f273c4-81c6-4f4f-bef7-5a05a14bbc10,217,90c28cc7.json,"In the input, you should see...in a black background a rectangle or square created from other colored rectangle or squares.","The output grid size...new grid size should be the least number of squares necessary to create a similar, but not always the same, pattern of the colored rectangle or square.","To make the output, you have to...consider only the colored part of the input. Create a similar square or rectangle, using the least number of squares.",1,1
4fa10903-131a-43b9-a4e8-4a882bcdf63f,218,90f3ed37.json,"In the input, you should see... a line at the top and two  start of lines at the bottom",The output grid size... is the same,"To make the output, you have to... finish the line so that it is the same as the top line but finish the line in dark blue",1,1
5a17c3a2-e5a8-4279-b510-92ddf881027a,219,913fb3ed.json,"In the input, you should see... single colored squares",The output grid size... is the same as the input,"To make the output, you have to... surround any green squares with pink squares, surround any light blue squares with yellow squares, and surround any red squares with dark blue squares",4,4
541293b7-409f-4414-8d60-24b3371d6f62,220,91413438.json,"In the input, you should see...a colored pattern on 3x3 black grids",The output grid size... change depending on the numbers of the colored grids in the input grid. The change is as follow: 3 colored grids (input pattern) =  18x18 output grid; 4 colored grids (input pattern) = 15x15 output grid; 5 colored grids (input pattern) = 12x12 output grid; 6 colored grids (input pattern) = 9x9 output grid.,"To make the output, you have to... First, count the numbers of the colored grids in the input grid, then create the output grid based on the output grid size instruction. Then, keeping in mind the number of the colored grids, copy the exact pattern from the input grid to the output grid, with the same number of times as the number of the colored grids starting from the left side to the right. For example,  if the pattern on the input grid has 3 colored grids, you will copy the exact pattern to the output grid 3 times, starting from the left to the right; if the pattern on the input grid has 5 colored grids, you will copy the exact pattern to the output grid 5 times, starting from the left to the right.",2,0
a05b59aa-b262-4c1c-a88f-8cf80692ee3f,221,91714a58.json,"In the input, you should see... A grid of random colors with a solid block clearly visible.",The output grid size... remains the same size.,"To make the output, you have to... copy the size and position of the solid block, so you have the block on a black background.",1,1
8d4abaae-1f62-4f86-860e-87b2e8467308,222,9172f3a0.json,"In the input, you should see... a 3x3 grid with colors",The output grid size... is a 9x9 grid,"To make the output, you have to... copy the same colors in the same position. For every single grid in the input, it should be changed to a 3x3 of color each in the output",1,1
f7bb5aee-6478-4ba6-b42b-0477606ba530,223,928ad970.json,"In the input, you should see...4 gray dots and a colored rectangle inside all 4 dots",The output grid size...is the same as the input,"To make the output, you have to...copy the input grid .then, make the biggest rectangle possible that is enclosed by all 4 gray dots. make this rectangle the same color as the smaller rectangle . so,the rectangle you draw should be touching the inside of each gray dot",1,1
be7cb5ac-da24-45d8-a95d-e3eb0fb9b480,224,93b581b8.json,"In the input, you should see...a 2x2 square of four different colors",The output grid size...is the same as the input,"To make the output, you have to...add a 2x2 square of a single color in each corner that is the color of the far square of the input.",2,0
8c253c25-46b9-407e-9f4c-9f849d5d62f2,225,941d9a10.json,"In the input, you should see...the background area split by gray objects.",The output grid size...should be the same as the input,"To make the output, you have to...fill the left-upper black area with blue; the middle with red; and the green in the right-down.",2,0
3f2de917-1cec-47bd-9632-17c9057f692b,226,94f9d214.json,"In the input, you should see...is a 4x8 grid. The top 4x4 is a pattern of green pixels. The bottom is a 4x4 is a pattern of blue pixels.",The output grid size...is a 4x4 grid.,"To make the output, you have to...overlay the top 4x4 grid of green pixels over the bottom 4x4 grid of blue pixels or vice versa.After you complete the overlay whichever pixels are still black will be changed to red in the output. All the other pixels which are green, blue, or both will be changed to black",1,1
1f88ed35-4b0b-4c44-b0c9-2dd04f12ecf8,227,952a094c.json,"In the input, you should see...a grid with a square or rectangle composed of monochromatic pixels with a colored pixel at each of the interior corners of the rectangle.",The output grid size... is the same as the input.,"To make the output, you have to...  copy the input grid to the output workspace.  Move each of the interior corner colored pixels to the exterior corner opposite of their input position.  Meaning, move the upper left interior pixel such that its corner is touching the lower left corner of the lower left corner pixel of the monochromatic rectangle or square.  You're moving pixel at a 45 degree angle to the exterior opposite corner, do that with each interior corner square to create the correct output grid.",1,1
9e2b1a49-9538-4605-ae4c-8f27bd64b08f,228,9565186b.json,"In the input, you should see... a couple or several colors that fill the grid.",The output grid size...remains the same.,"To make the output, you have to...keep the color with the most squares and everything else should be gray.",7,6
d8ed0921-ce62-4eaf-9aa7-0570ddc4574b,229,95990924.json,"In the input, you should see... a series of gray squares",The output grid size... is the same as the input,"To make the output, you have to... surround each square with the following, connected diagonally to each of the corners: Blue on the top left, Red on the top right, Green on the bottom left, Yellow on the bottom right. The end result should almost resemble a flower, with a gray center and four colored petals.",2,2
14cc08eb-43b0-4d1f-b0e1-14fb339828c6,230,963e52fc.json,"In the input, you should see...a horizontal colored line in the middle",The output grid size...the length of the grid double in size but the width stays the same,"To make the output, you have to...repeat the same pattern of colors in the input pixels to the grid created in the output  in the same position",1,1
4f16b05d-1b35-4a36-bd68-62bca9eeb53a,231,97999447.json,"In the input, you should see... a grid with randomly placed colored tiles",The output grid size... remains the same as the input grid.,"To make the output, you have to... alternate to the RIGHT of the colored tile with light grey and the original color UNTIL it reaches the rightmost side of the grid, REPEAT this for each applicable colored tile.",4,2
6baffa36-d113-436f-8f6f-b113a8e8d780,232,97a05b5b.json,"In the input, you should see...a large grid with a red grid with black blocks missing. As well as small grid blocks with red blocks that fit the black blocks in the large grid.",The output grid size...changes to the size of the large red grid.,"To make the output, you have to...fit the red blocks in the small grid blocks where they go on the large red grid with the colored blocks as well.",2,1
deb03177-dfd1-4187-bbe8-47e4ad2d182e,233,98cf29f8.json,"In the input, you should see...two colors on a black background with one vertical or horizontal single line.",The output grid size...remains the same.,"To make the output, you have to...remove the single line and move the shape that is the same color as the line square up against the other shape.",1,1
d184db00-9062-4519-90d9-d9e28803db62,234,995c5fa3.json,"In the input, you should see...three 4x4 grey grids divide by black lines",The output grid size... 3x3 grid,"To make the output, you have to...make three rows of three different solid colors corresponding to the grey 4x4 blocks. The first 4x4 block is the color of the top row, and so on.Grey 4x4 with a 2x2 black box in the middle = light blueGrey 4x4 with no black = redGrey 4x4 with black box center bottom = yellowGrey 4x4 with two 1x2 black lines on the left and right = greenIf there are any more, they are a different color.",2,1
3373292d-31b2-498c-927d-fda6968a63f8,235,99b1bc43.json,"In the input, you should see....a 4x4 square of blue and black boxes on top of a yellow line. Below the yellow line is a 4x4 square of red and black boxes.",The output grid size....should be 4x4.,"To make the output, you have to...compare the squares in the top and bottom 4x4 square. If they match (both black or both color) make the output square black. If they do not match, make the output square green.",2,2
c51ea310-6216-4445-b5f9-632186bbb0ad,236,99fa7670.json,"In the input, you should see...colored blocks on a black background",The output grid size...same as input,"To make the output, you have to...extend the colored blocks, using their original color, to the right and downward, creating ""L"" shapes. Start with the bottom-most block. Draw a line from the bottom-most block until it touches the right side of the grid, and then draw a line downward from there until it touches the bottom of the grid. This will form an inverted ""L"" shape that is facing left. Then, go up to the next colored block and repeat this process, except when you draw the line downward, stop where it would touch the first color. This will form another inverted ""L"" shape, on top of the first one. Do this for each colored block.",1,1
406a6646-9451-48f0-a7ae-fb55d2a5e3d1,237,9aec4887.json,"In the input, you should see...a colored object and a light blue object.",The output grid size... is the same as the colored object.,"To make the output, you have to...copy the colored object and copy the light blue object inside the colored object. Then change the middle light blue blocks adjacent to the colored outlines to the same color.",1,0
707bb769-7725-48e1-bbb9-c478562d8505,238,9af7a82c.json,"In the input, you should see...grid filled with different colors. No background color.",The output grid size...width should be the number of colors. Height should be the number of the most....color.,"To make the output, you have to...in a black background, fill out the left with the most ... color. Then the second most...third most..continue. Start it from the top.",1,1
e23d9dbf-053a-46bb-8e00-27aa2f8f47e1,240,9dfd6313.json,"In the input, you should see...a colored pattern",The output grid size...is the same as the input grid size.,"To make the output, you have to...rotate the pattern 90 degrees to the right and then flip it over to it's reverse. the output should be an 90 degrees mirror image of the input.",1,1
22db23ab-798f-45f0-9bc1-94152703b222,241,9ecd008a.json,"In the input, you should see...can see a pattern with a some black part.",The output grid size...should be the same size as the black spots,"To make the output, you have to...fill the black spots with the exact same pattern that need to be filled in the original grid.",5,3
c283532c-2022-463b-b801-93a177cfbcb7,242,9edfc990.json,"In the input, you should see...a grid with several different colored blocks.",The output grid size...stay the same.,"To make the output, you have to...copy the input and fill in any spaces that have with blue that have blue touching black.",1,1
ba57fafb-5ba5-4f9e-8cf9-5c0aab0adefa,243,9f236235.json,"In the input, you should see...a single-colored grid of symmetrical lines that intersect to create segmented boxes. The boxes are filled  and create a design.",The output grid size...becomes smaller. Equal to the number of segmented boxes present in the input grid,"To make the output, you have to...avoid the lines that create the boxes, and instead  focus on the pattern. Copy the pattern so that it is mirrored horizontally (left to right). You should end up with only the design from the input.",1,1
06b1078a-cd28-4aca-a9f5-c2dd01648eac,244,a1570a43.json,"In the input, you should see...a black grid with 4 pixels evenly spaced from each other to create a sort of square and a different colored collection of pixels that create a random shape.",The output grid size... remains the same,"To make the output, you have to... think of the 4 pixels as a picture frame. Reposition the random shape to be centered in that frame.",1,1
c429ee61-a70b-44ec-9821-0b104b5f6a71,245,a2fd1cf0.json,"In the input, you should see... a black background with a red square and a green square.",The output grid size... is the same as the input grid size.,"To make the output, you have to... create a road of light blue squares between the red and green squares. The road should travel up or down from the green square and left or right from the red square until the two meet.",5,3
67c0a964-01b8-4b6a-b95c-d1a6c2e39dce,246,a3325580.json,"In the input, you should see... colored shapes against a black background",The output grid size... will be the size that the output lines require.,"To make the output, you have to... identify the largest shapes by number of squares. This may be one shape or more than one shape, if they have the same number of square. Then create a vertical line for each of those shapes, in the order from left to right of the shapes, each line with the same number of squares as the input shape. If only one shape is largest, there will be one output line. If two shapes are largest together, there will be two lines, and so on.",2,2
dd24d6d5-c189-4e85-9ab8-1f3c007537fd,247,a3df8b1e.json,"In the input, you should see...a single blue block at the bottom with a black background",The output grid size...stay the same.,"To make the output, you have to...add blue squares in a 45 degree angle pattern back and forward until you reach the top.",3,2
9eda4b7d-4b15-4050-a589-b8f4d4f425cc,248,a416b8f3.json,"In the input, you should see... a grid with colored squares",The output grid size... is the same height as the input grid but twice as wide,"To make the output, you have to... place the input design all the way on the left half and then duplicate the exact same design and colors on the right half. The final grid is two of the original grid next to each other.",1,1
e69e83b2-6f17-48fc-812a-102c8941f4fa,249,a48eeaf7.json,"In the input, you should see...a square with blocks far from it",The output grid size...the same,"To make the output, you have to...move the blocks until they touch the red square on the same line",1,1
7a1ae591-2fe6-41b1-a990-924b1beaaf7e,250,a5313dff.json,"In the input, you should see...shapes with black inside and dot in center",The output grid size...match the output,"To make the output, you have to...color the inside blue but if the border of shape goes outside the grid leave inside black",3,3
5524ce55-cbb9-4643-aa2b-39252249aa8d,251,a5f85a15.json,"In the input, you should see...diagonal lines of colored squares.",The output grid size...is the same as the input.,"To make the output, you have to...change every other square on each of the diagonal lines to yellow (starting with the 2nd square on each line)",1,1
b44fef68-3e08-4052-9dc9-975ab111a47a,252,a61ba2ce.json,"In the input, you should see...4 different color patterns in 3 squares each in the middle of the black grid.",The output grid size...changes to 4x4.,"To make the output, you have to...follow the colored pattern and put them on all the corners exactly how the pattern is placed.  Then fill in the middle 4 squares with black.",4,3
773f5f62-5ca2-4d06-ac7e-b8932300d2fb,253,a61f2674.json,"In the input, you should see...only vertical blocks which stay on rows 1, 3, 5, 7 and 9.",The output grid size...will remain the same.,"To make the output, you have to...change the shortest colored blocks from gray to red and the tallest colored blocks from gray to blue. Change the remaining gray blocks to black.",1,1
85c8e111-f5f6-4c1f-a830-c1ecfe9c0fe3,254,a64e4611.json,"In the input, you should see... area that appear not fill.",The output grid size...stay the same.,"To make the output, you have to... fill not fill area with green, leaving black border.",5,1
b42f7601-1f42-4288-8c7d-85ba31f1e6f4,255,a65b410d.json,"In the input, you should see...horizontal bar of orange squares, either 2, 3, or 4 squares.",The output grid size...is the same.,"To make the output, you have to...place the horizontal bar in the exact position in the output. Then add 1 to the number of orange squares and fill in that number of squares directly above the orange bar, but in GREEN, beginning with the leftmost square. Then add another 1, and fill in that number of squares in another green horizontal bar right above. Continue doing that all the way to the top. Then subtract the number of the original orange squares by 1, then draw under the orange bar the new number of squares in BLUE, also beginning with the leftmost square. Repeat until the number of blue squares is 1. Draw that, then you are done.",1,1
0d56474c-c81c-4f1e-9f95-bd249352fb70,256,a68b268e.json,"In the input, you should see...4x4 with all shapes",The output grid size...4x4 size grid,"To make the output, you have to...take the top left 4x4 on output. add top right 4x4 pattern. do not cover the first color. do the same for each section.",2,0
bc6efe37-2ab3-44fa-949b-a2c8691a7ce4,257,a699fb00.json,"In the input, you should see...a grid with black background and blue squares",The output grid size...is same,"To make the output, you have to...every time you see two blue squares in any  line with a single space in between, you fill in that space with a red square Only pay attention to squares going across and not up and down. Do not fill in any squares for any pattern going up and down. Keep all blue squares blue and keep the black squares black",2,2
c7dd9890-6d31-4a60-bff8-0b438e975530,258,a740d043.json,"In the input, you should see...a blue grid with a pattern some place",The output grid size...is the size of the pattern in the blue grid,"To make the output, you have to...make the pattern and if there is any more on the sides or any blue, fill in with black",2,2
9e8aac7a-adde-4f04-b81d-35b6b7085313,259,a78176bb.json,"In the input, you should see... a diagonal line with a single color with gray squares on one side or both sides of the line on a large black background.",The output grid size... is the same as the input grid.,"To make the output, you have to...copy the input grid. Then create a diagonal line with the same color as the original diagonal line at the side of the gray squares. The diagonal line has to touch two sides of the large black background. Then, color the gray squares with black color.",2,0
bdc74cd9-2477-413a-85c1-1089f9ac6ba5,260,a79310a0.json,"In the input, you should see...black background with colored squares",The output grid size... Same as input,"To make the output, you have to... Move colored square one line down and change to red",6,5
0b5964b7-f6fe-4574-b6c5-723030909a45,261,a85d4709.json,"In the input, you should see...some grey pixels either in the first column, second or third column.",The output grid size...does not change.  copy and paste the grid,"To make the output, you have to...check the position of the grey pixels. Where the grey pixel is in the first column, the corresponding pixels in that raw in the output should have color red. If the pixel is in the middle column, the corresponding pixels in the output should be yellow. Where the grey pixel is in the the last column , the corresponding pixel in that raw in the output should be green.",1,0
da78fadc-befb-4016-aa36-8d75d46dc97e,262,a87f7484.json,"In the input, you should see...different patterns of different colors",The output grid size...will be 3x3,"To make the output, you have to...find the color with the most spaces colored and put that pattern into the 3x3",7,7
ea439248-4e56-4eaf-9aa5-31d1b0f3d169,263,a8c38be5.json,"In the input, you should see... multiple 3x3 squares with gray and colored shapes within them",The output grid size... changes to a 9x9 grid,"To make the output, you have to... rearrange each of those squares fully that colors line up along the edge. Start with the fully gray 3x3 in the middle. Then corners should line up in the corners that the color touches the edge.Rearrange the rest of the 3x3 grids that the color remains on the edge.",1,1
a6ad5cf2-629b-455e-87bf-ed88599a9e70,264,a8d7556c.json,"In the input, you should see...a pattern of black and grey colored boxes",The output grid size...is the same as the input,"To make the output, you have to...Make the boxes that have the same color of black shapes that are bigger than 1x1 red",4,1
00269f5d-4cbe-4b7a-8dc9-f59e0eaa1cbc,265,a9f96cdd.json,"In the input, you should see...a single red colored pixel in one of the column",The output grid size...copy and paste the input grid size,"To make the output, you have to...make the pixels touching the colored pixel at its corners colored in green for the top left corner pixel, pink for the pixel touching its top right corner, light blue for the pixel touching its bottom left corner and orange for the pixel touching its bottom right corner. the colored pixel in the input should be colored black",1,0
50065ee5-f053-47de-9cb6-dcebabdb04e0,266,aabf363d.json,"In the input, you should see...a pattern and one colored square at the bottom",The output grid size...should be the same as the input,"To make the output, you have to...change the pattern to match the one colored square at the bottom and fill in the one square at the bottom to black",3,3
3019710b-b607-4a56-98a4-62b9af1a4eae,267,aba27056.json,"In the input, you should see...a 7x7 black grid with a single color of squares that form a rectangle with a black hole",The output grid size...is the same as the input grid size,"To make the output, you have to...fill yellow squares in the hole of the rectangle and also add yellow squares on either all of the horizontal or all of the vertical lines out of the hole.  Then add more yellow squares on a diagonal starting from the inner corner of each hole and going to the edge of the grid.  Some yellow squares will repeat the yellow squares to fill the hole.",1,0
202293cd-9f9e-47e5-9fd2-3b1a1d3b5b16,268,ac0a08a4.json,"In the input, you should see...original pattern",The output grid size...output size,"To make the output, you have to...follow the instruction",1,0
1471b2a9-817d-4d8e-bd10-508f16659e94,269,ae3edfdc.json,"In the input, you should see...a single red box and a single blue box. You should also see at least one orange box and at least one green box.",The output grid size...is the same as the input grid size.,"To make the output, you have to...create 2 designs using all of the colored boxes in the input grid. One design is focused on the red box and the other one is focused on the blue box.  Both the red box and the blue box will be in their exact same positions in the new grid. First put the red box in the same place as it is in the input grid. Now, look at the green boxes in the input grid and imagine that the green boxes are being pulled toward the red box until they are touching it. So, if there is a green box in the input grid above the red box, place it directly above the red box in the new grid. If there is a green box to the right of the red box in the input side, move it until it is directly to the right of the red box. Do the same for any other green boxes. After you are done, all of the green boxes should be touching the red box which is still in its original location. That design is done. Now use the same exact method for the blue box and surround it with the orange boxes. Think of the blue and red boxes as the centers of flowers and the green and orange boxes as the petals.",4,3
4dfb99ea-5f7f-45a6-90f0-6ab2bdccfe22,270,ae4f1146.json,"In the input, you should see...four cubes",The output grid size...is is 3x3,"To make the output, you have to...mirror the square with the most dark blocks",1,1
c9f89c65-0c0a-4c93-a656-4f249c82c50e,271,aedd82e4.json,"In the input, you should see...large shapes with smaller shapes",The output grid size...no change,"To make the output, you have to...color smaller shapes dark blue",2,2
1824857b-dcee-424d-a062-eb3ce27ff239,272,af902bf9.json,"In the input, you should see....4 yellow in a square form",The output grid size...does not change,"To make the output, you have to...put red in the middle of the yellow square structure, but not actually next to any of the yellow squares",3,2
b9481285-fceb-4700-81fd-954459d1372d,273,b0c4d837.json,"In the input, you should see...a bucket holding some level of water",The output grid size...is a 3x3 grid,"To make the output, you have to...Start at the upper left and add a light blue pixel for every empty row of the bucket. Fill in the top row first and then begin the second row beginning at the right.",1,0
16c05fbe-89b3-4204-a607-427261cdbd35,274,b190f7f5.json,"In the input, you should see...some squares of various colors on one half of the grid and some blue square that make a pattern on the opposite side of the grid.","The output grid size...will be the size of grid with the light blue squares multiplied by the length of the grid with the light blue squares. So, for example, if the light blue squares are in a 4x4 grid, the output grid will be 16x16.","To make the output, you have to...replace each of the colored squares on the input grid with the light blue pattern but in the color of the square, then orient the pattern to correspond with the colored squares in the new grid.",3,1
f32b064c-3e97-46b0-961b-8f9344da3733,275,b1948b0a.json,"In the input, you should see...two colors, one of which is orange.",The output grid size... is the same as the input size,"To make the output, you have to... turn the not-orange color into light red.",4,4
b8c5987a-b64b-4b2a-89b2-aefbd66b42c8,276,b230c067.json,"In the input, you should see...all patterns that have the same light blue color.",The output grid size...should be the same with the same shapes.,"To make the output, you have to...color the two similar shapes the same dark blue color and then change the third shape to the red color.",1,1
43568a42-f643-4710-9c19-96f8e79166f5,277,b27ca6d3.json,"In the input, you should see... some single and paired red boxes on a black field",The output grid size...be the same as the input,"To make the output, you have to...surround the paired red boxes with green boxes",3,3
82017769-5eba-41c0-ba25-de67179cea5c,278,b2862040.json,"In the input, you should see...red background, blue closed and open patterns",The output grid size...same as input,"To make the output, you have to...change closed patterns to light blue.",6,6
e9440122-9d24-4ca2-b181-6ab49ae9c1fb,279,b527c5c6.json,"In the input, you should see... green shapes on a black background. On the edge of each shape is a red dot.",The output grid size... stays the same.,"To make the output, you have to... look at the dot on the edge of each shape. Counting away from the edge, how many green dots follow the red dot, before you reach the opposite edge? From the red dot, draw a line to the edge of the picture. Then on each side of the red line, draw a green border of the same thickness as the number of green dots you counted before.",2,0
5642e292-6cf4-46f9-aa22-6d58ab5a90bc,280,b548a754.json,"In the input, you should see...rectangle",The output grid size...outside,"To make the output, you have to...stretch",2,0
442d93fc-d759-4870-a57f-d9e69870ae7e,281,b60334d2.json,"In the input, you should see...a number of gray single pixel squares",The output grid size...stays the same,"To make the output, you have to...copy entire image over.  Add single gray pixels diagonally from each corner of the current gray pixels, should create an X.  Add blue pixels above and to the sides of the center original gray pixels, so it's like a plus sign.  You will now have a number of 3x3 squares.  Replace the very center, where the gray pixels were in the original input, with black.",1,1
